id,restaurant_id,work_hour
353,8172171d-f5b9-4cf3-b037-c5354d659f83,12-16:30/19:30-24
354,5099ec4b-c306-43c7-b3b4-45c4ca38d7ab,7-16/19:45-24
355,07952bfa-998f-490d-b50f-514f19e94982,Dec-24
356,c17c1074-e51c-461f-8337-d99c991c6cba,Dec-23
357,6b7d7a13-3685-49de-b199-7c3d59f4eafb,Dec-24
358,c25758a6-e911-4264-8ca1-bae05608d5cf,Oct-24
359,deb7d529-59d5-464d-9b88-9750dec7deac,19:30-23
360,d4168dfb-ff0c-4a47-acd7-48e985ab9331,9:30-24
361,1226f715-d363-4d4b-b1e5-2e97887bcd3e,12-16:30/19-23:30
362,7440d1ea-ca6c-4048-8242-55f5a5cabe4b,Nov-24
363,e440d595-cd4d-4893-b877-8a32d190f846,Dec-24
364,9a4862b2-c351-4f4b-829e-eea88a867e77,Dec-24
365,6e983e5c-284a-4caf-8809-9e7c623bb754,Nov-24
366,e3f84290-381e-464e-8e26-e298913957e3,Dec-24
367,3175f5ac-c7cd-4dd5-b93a-769680306704,Sep-24
368,8d21ef90-2792-4f15-98d3-f7266edb236e,Nov-15
369,3378f994-88de-45f1-ac5c-f87c87b54ea3,Dec-24
370,aab35dc2-b991-43b0-9ed6-97a7d0959920,Dec-24
371,504c1029-79e9-457a-b39b-f2984beb1236,19-24
372,72961449-1a39-4199-ae41-be9e6959c1bd,18:30-22
373,bc77b4c9-477e-432a-b578-3e441c958287,11:30-16/19-23
374,b55a6a6a-6f62-4a53-ae4a-6efc10b53ab5,11-23:30
375,2331c1c1-4508-4f04-8542-d93b85e7e588,Dec-24
376,bcfb7447-430b-4ef3-bc33-e78477e9fe3c,Sep-24
377,c45e0067-d2aa-4a1e-8ca8-8de646f6af05,10:30-22:30
378,a5dbb02f-7ecc-4036-8229-ce1615f4f342,Dec-24
379,30e94192-928a-41c6-b87c-c46be7f42cd3,Dec-24
380,b62486fb-de8a-4387-9519-b8d5661dffcf,رستوران
381,86773fa7-8c6d-457d-959e-ce0edd9d25bf,Nov-24
382,e9ad28cf-f86e-42de-9665-3ff5daf17f2a,Dec-24
383,16fb89c6-ee5c-448d-bd15-1b7feabf4791,Dec-24
384,26cc2e6f-5ae0-4f25-9ce1-1ff8aae0d95c,Nov-24
385,d03ce641-0617-4a48-b64b-55ea5d15c2fd,Nov-23
386,4b9ed13a-84e7-4d69-bcae-7713c844060a,Oct-23
387,8dd0ec62-9ec5-46a5-a0f4-9e10b856a092,Aug-24
388,c3537ef1-cf1f-47aa-92f6-504267cf2ae5,Nov-24
389,1ba615c5-ac81-47b0-96c0-05fc5d3d86e4,16-20
390,402543e7-5a63-4ef1-807f-08bba581c1f0,Dec-24
391,7654e275-b4d9-45f2-9710-b1192ee1ff6f,Sep-22
392,b4fc5310-d081-4e20-a907-fe9a17ead730,Nov-23
393,4bca4dd1-0f2f-442b-9cf1-55ac42ca0453,Sep-24
